SITE FOLDER NAME,COUNTY,LATITUDE,LONGITUDE,FIRST YEAR,LAST YEAR,NUMBER OF MONTHS WITH OBSERVATIONS,NUMBER OF GAPS
AMPTHILL-LIDLINGTON,BEDFORDSHIRE,52.0406,-0.5566,1874,1886,121,35
AMPTHILL-MIX,BEDFORDSHIRE,52.0316,-0.4898,1865,1894,345,15
AMPTHILL-SILSOE,BEDFORDSHIRE,52.0101,-0.4279,1872,1908,442,2
ANCHOR-KERRY-FOREST,MONTGOMERYSHIRE,52.4629,-3.2201,1949,1960,142,2
ANCRUM-MONTEVIOT,ROXBURGHSHIRE,55.5174,-2.5669,1914,1960,542,22
ANDOVER-RED-RICE,HAMPSHIRE,51.1726,-1.5165,1867,1885,228,0
ANDOVER-SEWAGE-WORKS,HAMPSHIRE,51.2004,-1.4876,1914,1960,564,0
ANDOVER-THE-KNOLL,HAMPSHIRE,51.2067,-1.4846,1882,1909,336,0
ANGERSLEIGH-LEIGH-COURT,SOMERSET,50.9621,-3.1419,1901,1946,541,11
ANGERSLEIGH-LEIGH-RES,SOMERSET,50.9522,-3.1446,1894,1960,480,324
ANNACARTER-SCHOOLHOUSE,WICKLOW,53.0895,-6.2201,1861,1919,396,312
ANNAGHANOON,DOWN,54.4172,-6.2922,1930,1956,314,10
ANNAN-WARMANBIE,DUMFRIESSHIRE,55.0088,-3.2601,1866,1881,192,0
ANNAT-COTTAGE-PERTHSHIRE,PERTHSHIRE,56.4241,-3.2593,1846,1944,413,775
ANNESLEY-SELSTON-WW,NOTTINGHAMSHIRE,53.0844,-1.2341,1896,1932,444,0
ANTRIM-ARDNAVEIGH,ANTRIM,54.7256,-6.1872,1898,1922,300,0
ANTRIM-THE-MANSE,ANTRIM,54.7138,-6.2139,1864,1897,344,64
APPIN-AIRDS,ARGYLL,56.5494,-5.4034,1856,1909,648,0
APPLEBY-BONGATE-CROSS,WESTMORLAND,54.5751,-2.4842,1941,1960,233,7
APPLEBY-CASTLE-BANK,WESTMORLAND,54.5715,-2.4872,1890,1960,852,0
APPLEBY-VIC,LINCOLNSHIRE,53.6230,-0.5640,1849,1891,477,39
APPLEBY-WESTMORLAND,WESTMORLAND,54.5769,-2.4899,1856,1895,461,19
APPLECROSS-GDNS,ROSS AND CROMARTY,57.4434,-5.7962,1865,1960,1139,13
APPLETON-RES,CHESHIRE,53.3559,-2.5994,1897,1960,768,0
APSLEY-GUISE-OAKLANDS,BEDFORDSHIRE,52.0099,-0.6260,1870,1916,528,36
ARBROATH,ANGUS (FORFAR),56.5546,-2.5863,1840,1852,142,14
ARBROATH-DISHLAND-HILL,ANGUS (FORFAR),56.5560,-2.5921,1890,1921,376,8
ARBROATH-KEPTIE-ROAD,ANGUS (FORFAR),56.5606,-2.5955,1843,1887,538,2
ARBROATH-MUIRHEADS-RES,ANGUS (FORFAR),56.5890,-2.6415,1907,1960,630,18
ARBROATH-ST-VIGEANS,ANGUS (FORFAR),56.5767,-2.5900,1843,1857,180,0
ARBROATH-WW,ANGUS (FORFAR),56.5568,-2.5970,1887,1909,271,5
ARDCLACH-GLENFERNESS,NAIRNSHIRE,57.4630,-3.7753,1897,1960,768,0
ARDEE-LISRENNY,LOUTH,53.8999,-6.5463,1884,1940,680,4
ARDENCAPLE-ROW-DUMBARTON,DUNBARTONSHIRE,56.0097,-4.7565,1832,1834,29,7
ARDGOUR-HOUSE,ARGYLL,56.7235,-5.2801,1862,1960,854,334
ARDKINGLAS,ARGYLL,56.2510,-4.9473,1908,1960,539,97
ARDLAMONT-KILBRIDE,ARGYLL,55.8637,-5.2616,1927,1953,321,3
ARDNADREAN,DONEGAL,55.1380,-8.1276,1885,1909,283,17
ARDNAMURCHAN-LIGHTHOUSE,ARGYLL,56.7274,-6.2258,1849,1960,1165,179
ARDRISHAIG,ARGYLL,56.0124,-5.4474,1879,1960,903,81
ARDROSSAN,AYRSHIRE,55.6440,-4.8138,1871,1899,279,69
ARDROSSAN-KIRKHALL,AYRSHIRE,55.6556,-4.8015,1876,1897,264,0
ARDSLEY-JAW-HILL,YORKSHIRE WEST RIDING,53.7053,-1.5576,1903,1960,691,5
ARDSLEY-RES,YORKSHIRE WEST RIDING,53.7188,-1.5666,1900,1960,732,0
ARDTREA,LONDONDERRY,54.6272,-6.6765,1711,1724,168,0
ARENIG,MERIONETHSHIRE,52.9367,-3.7289,1951,1960,120,0
ARISAIG-FAIRE-NA-SGUIR,INVERNESS,56.9015,-5.8478,1908,1948,468,24
ARISAIG-HOUSE,INVERNESS,56.8969,-5.7915,1884,1960,924,0
ARKHOLME-STORRS,LANCASHIRE,54.1358,-2.6504,1866,1909,516,12
ARMAGH,ARMAGH,54.3530,-6.6498,1840,1867,324,12
ARMAGH-LLOYD,ARMAGH,54.3513,-6.6499,1840,1851,144,0
ARMAGH-OBSERVATORY,ARMAGH,54.3530,-6.6498,1836,1960,1496,4
ARMBOTH,CUMBERLAND,54.5615,-3.0716,1877,1894,205,11
ARMBOTH-FELLS-THE-PEWITTS,CUMBERLAND,54.5424,-3.0990,1877,1960,1002,6
ARNCLIFFE-AMERDALE,YORKSHIRE WEST RIDING,54.1413,-2.1048,1881,1909,348,0
ARNCLIFFE-VICARAGE,YORKSHIRE WEST RIDING,54.1429,-2.1041,1853,1918,780,12
ARNFIELD-RES,CHESHIRE,53.4714,-1.9847,1855,1960,1272,0
ARRAN-BRODICK,BUTE,55.5852,-5.1679,1872,1912,106,386
ARRAN-DOUGARIE,BUTE,55.5823,-5.3604,1917,1960,528,0
ARROCHAR-MANSE,DUNBARTONSHIRE,56.1925,-4.7526,1872,1907,427,5
ARROCHAR-MIX,DUNBARTONSHIRE,56.1971,-4.7481,1862,1944,528,468
ARUNDEL-CLAPHAM-RECTORY,SUSSEX,50.8459,-0.4474,1886,1903,216,0
ARUNDEL-DALE-PARK,SUSSEX,50.8829,-0.6150,1846,1890,476,64
ARUNDEL-PATCHING,SUSSEX,50.8487,-0.4573,1869,1953,1008,12
ARUNDEL-YAPTON-BONHAMS,SUSSEX,50.8210,-0.6172,1866,1928,730,26
ARUNDEL-YAPTON-DROVE-FARM,SUSSEX,50.8175,-0.6258,1881,1925,528,12
ASCOT-WINKFIELD-MANOR,BERKSHIRE,51.4262,-0.6940,1896,1945,301,299
ASFORDBY-HILL-IRON-WORKS,LEICESTERSHIRE,52.7683,-0.9373,1922,1951,359,1
ASH-BOCKING-VICARAGE,SUFFOLK,52.1488,1.1704,1872,1917,552,0
ASHBOURNE-WW,DERBYSHIRE,53.0101,-1.7242,1899,1929,363,9
ASHBURTON-DRUID-HOUSE,DEVON,50.5262,-3.7733,1869,1931,756,0
ASHBURTON-HELE-HOUSE,DEVON,50.5189,-3.7745,1924,1960,292,152
ASHBURTON-WIDECOMBE-VIC,DEVON,50.5760,-3.8120,1869,1893,253,47
ASHCOMBE-THORNS-RES,DEVON,50.6157,-3.5506,1905,1943,362,106
ASHFORD,KENT,51.1575,0.8630,1907,1960,627,21
ASHFORD-BEAVER-GREEN,KENT,51.1369,0.8574,1874,1906,396,0
ASHFORD-BETHERSDEN,KENT,51.1201,0.7737,1876,1903,336,0
ASHOP-HEAD,DERBYSHIRE,53.4131,-1.8992,1898,1960,667,89
ASHOPTON-WIN-HILL,DERBYSHIRE,53.3660,-1.7189,1898,1914,124,80
ASHORNE-VICTORIA-COTTAGE,WARWICKSHIRE,52.2122,-1.5536,1912,1960,580,8
ASHTEAD-DABERNON-CHASE,SURREY,51.3290,-0.3336,1887,1918,374,10
ASHTON-UNDER-LYNE-HENRIETTA-ST-YD,LANCASHIRE,53.4922,-2.0919,1909,1960,624,0
ASHTON-UNDER-LYNE-KNOTT-HILL,LANCASHIRE,53.5093,-2.0648,1864,1960,946,218
ASHTON-WATERHOUSES,LANCASHIRE,53.5060,-2.1220,1845,1922,908,28
ASHWATER-RECTORY,DEVON,50.7358,-4.2872,1900,1955,666,6
ASKHAM-BRYAN,YORKSHIRE WEST RIDING,53.9207,-1.1610,1935,1960,302,10
ASKRIGG-YOREBRIDGE-GRAMMAR-SCHOOL,YORKSHIRE NORTH RIDING,54.3150,-2.0850,1935,1960,312,0
ASPATRIA-BRAYTON,CUMBERLAND,54.7705,-3.2936,1862,1914,562,74
ASSYNT-ACHUMORE,SUTHERLAND,58.1762,-4.9920,1874,1889,180,12
ATHERSTONE,WARWICKSHIRE,52.5798,-1.5454,1880,1905,312,0
ATHLONE,WESTMEATH,53.4292,-7.9283,1892,1940,580,8
ATHLONE-TWYFORD-HOUSE,WESTMEATH,53.4363,-7.8388,1869,1940,848,16
ATTLEBOROUGH-QUIDENHAM-HALL,NORFOLK,52.4486,0.9887,1912,1948,424,20
AUCHENCAIRN-DAFFIN-COTTAGE,KIRKCUDBRIGHTSHIRE,54.8447,-3.8734,1934,1960,314,10
AUCHENCAIRN-TORR-HOUSE,KIRKCUDBRIGHTSHIRE,54.8547,-3.8708,1870,1960,1092,0
AUCHENDORES-RES-PORT-GLASGOW-WW,RENFREWSHIRE,55.9161,-4.6301,1883,1910,252,84
AUCHENGRAY-LANARK,LANARKSHIRE,55.7641,-3.6107,1856,1858,31,5
AUCHINRAITH-HAMILTON,LANARKSHIRE,55.7921,-4.0646,1833,1877,453,87
AUCHNASHEEN-HRS,ROSS AND CROMARTY,57.5793,-5.0728,1872,1883,59,85
AUCHTERARDER-COLQUHALZIE,PERTHSHIRE,56.3372,-3.7588,1857,1888,376,8
AUCHTERARDER-HOUSE,PERTHSHIRE,56.3118,-3.6976,1854,1879,252,60
AUCHTERARDER-TRINITY-GASK,PERTHSHIRE,56.3406,-3.6906,1856,1877,242,22
AUDLEM-VICARAGE,CHESHIRE,52.9875,-2.5076,1899,1914,186,6
AUGHNACLOY-ARCHDEACONRY,TYRONE,54.4144,-6.9769,1873,1887,160,20
AUSKERRY,ORKNEY,59.0253,-2.5731,1867,1940,770,118
AUSTERFIELD-PUMPING-STATION,YORKSHIRE WEST RIDING,53.4584,-1.0060,1933,1960,334,2
AVIEMORE-HRS,INVERNESS,57.1882,-3.8283,1872,1911,352,128
